1.32046,-0.101723,0.1,0,0,0.0533764,0.998574,0
5.29804,-1.41609,0,0,0,-0.10462,0.994512,0
8.01665,-1.80654,0,0,0,0.031246,0.999512,0
11.6499,-1.30035,0.1,0,0,0.0270626,0.999634,3
16.1005,-0.990445,0,0,0,0.0251524,0.999684,0
20.0994,-0.785044,0,0,0,0.0366933,0.999327,0
24.1115,-0.0798671,0,0,0,0.139654,0.9902,1
26.8626,0.681055,0.1,0,0,0.140144,0.990131,0
29.8422,1.35246,0.1,0,0,0.0453702,0.99897,0
32.771,1.73107,0,0,0,0.139754,0.990186,0
36.5861,2.97417,0,0,0,0.143757,0.989613,0
40.4861,3.93926,0,0,0,0.118045,0.993008,0
44.4108,4.91848,0,0,0,0.123561,0.992337,0
48.3079,5.89646,0,0,0,0.179883,0.983688,0
52.15,7.19622,0,0,0,0.106578,0.994304,0
56.0838,8.00112,0,0,0,0.157594,0.987504,0
59.939,9.12397,0,0,0,0.137579,0.990491,0
63.9166,10.0493,0,0,0,0.131612,0.991301,0
67.7641,11.2324,0,0,0,0.156852,0.987622,0
